"id","link","createdAt","updatedAt","IdProducto","dimension","key","folio","height","width"
442,"https://azulejos-portadas.s3.amazonaws.com/442.jpg","2018-07-11 16:36:57","2019-01-22 01:58:11",7626,"400x400","400_7626.png",44909,400,400
440,"https://azulejos-portadas.s3.amazonaws.com/440.jpg","2018-07-11 15:51:47","2019-01-22 01:58:11",7623,"400x400","400_7623.png",79490,400,400
44,"https://azulejos-portadas.s3.amazonaws.com/44.jpg","2018-07-02 22:37:02","2019-01-22 01:58:11",1816,"400x400","400_1816.png",30,400,400
438,"https://azulejos-portadas.s3.amazonaws.com/438.jpg","2018-07-11 15:37:22","2019-01-22 01:58:11",7622,"400x400","400_7622.png",63939,400,400
436,"https://azulejos-portadas.s3.amazonaws.com/436.jpg","2018-07-10 15:58:40","2019-01-22 01:58:11",7620,"400x400","400_7620.png",92419,400,400
435,"https://azulejos-portadas.s3.amazonaws.com/435.jpg","2018-07-10 15:57:48","2019-01-22 01:58:11",7619,"400x400","400_7619.png",87052,400,400
434,"https://azulejos-portadas.s3.amazonaws.com/434.jpg","2018-07-10 15:50:19","2019-01-22 01:58:11",7617,"400x400","400_7617.png",52687,400,400
433,"https://azulejos-portadas.s3.amazonaws.com/433.jpg","2018-07-10 15:48:39","2019-01-22 01:58:11",7616,"400x400","400_7616.png",6079,400,400
432,"https://azulejos-portadas.s3.amazonaws.com/432.jpg","2018-07-10 15:47:14","2019-01-22 01:58:11",7618,"400x400","400_7618.png",72398,400,400
431,"https://azulejos-portadas.s3.amazonaws.com/431.jpg","2018-07-10 14:31:36","2019-01-22 01:58:11",7615,"400x400","400_7615.png",36456,400,400
430,"https://azulejos-portadas.s3.amazonaws.com/430.jpg","2018-07-10 14:29:37","2019-01-22 01:58:11",NULL,"400x400","400_null.png",95192,400,400
426,"https://azulejos-portadas.s3.amazonaws.com/426.jpg","2018-07-10 14:16:09","2019-01-22 01:58:11",1327,"400x400","400_1327.png",40809,400,400
424,"https://azulejos-portadas.s3.amazonaws.com/424.jpg","2018-07-09 22:33:07","2019-01-22 01:58:11",7614,"400x400","400_7614.png",95658,400,400
423,"https://azulejos-portadas.s3.amazonaws.com/423.jpg","2018-07-09 22:30:58","2019-01-22 01:58:11",7613,"400x400","400_7613.png",55109,400,400
421,"https://azulejos-portadas.s3.amazonaws.com/421.jpg","2018-07-09 22:28:21","2019-01-22 01:58:11",NULL,"400x400","400_null.png",17118,400,400
420,"https://azulejos-portadas.s3.amazonaws.com/420.jpg","2018-07-09 22:21:20","2019-01-22 01:58:11",1288,"400x400","400_1288.png",68202,400,400
419,"https://azulejos-portadas.s3.amazonaws.com/419.jpg","2018-07-09 22:18:08","2019-01-22 01:58:11",7611,"400x400","400_7611.png",92079,400,400
417,"https://azulejos-portadas.s3.amazonaws.com/417.jpg","2018-07-09 22:13:11","2019-01-22 01:58:11",7610,"400x400","400_7610.png",69740,400,400
414,"https://azulejos-portadas.s3.amazonaws.com/414.jpg","2018-07-09 21:57:02","2019-01-22 01:58:11",1328,"400x400","400_1328.png",84313,400,400
413,"https://azulejos-portadas.s3.amazonaws.com/413.jpg","2018-07-09 21:54:33","2019-01-22 01:58:11",1341,"400x400","400_1341.png",50394,400,400
41,"https://azulejos-portadas.s3.amazonaws.com/41.jpg","2018-07-02 22:33:19","2019-01-22 01:58:11",1304,"400x400","400_1304.png",97633,400,400
408,"https://azulejos-portadas.s3.amazonaws.com/408.jpg","2018-07-09 21:42:27","2019-01-22 01:58:11",7606,"400x400","400_7606.png",70689,400,400
403,"https://azulejos-portadas.s3.amazonaws.com/403.jpg","2018-07-09 21:16:35","2019-01-22 01:58:11",7601,"400x400","400_7601.png",3427,400,400
402,"https://azulejos-portadas.s3.amazonaws.com/402.jpg","2018-07-09 21:16:19","2019-01-22 01:58:11",7600,"400x400","400_7600.png",84032,400,400
401,"https://azulejos-portadas.s3.amazonaws.com/401.jpg","2018-07-09 21:15:59","2019-01-22 01:58:11",7599,"400x400","400_7599.png",38135,400,400
400,"https://azulejos-portadas.s3.amazonaws.com/400.jpg","2018-07-09 20:56:49","2019-01-22 01:58:11",7598,"400x400","400_7598.png",30965,400,400
399,"https://azulejos-portadas.s3.amazonaws.com/399.jpg","2018-07-09 20:56:20","2019-01-22 01:58:11",7597,"400x400","400_7597.png",34510,400,400
395,"https://azulejos-portadas.s3.amazonaws.com/395.jpg","2018-07-09 20:53:56","2019-01-22 01:58:11",1350,"400x400","400_1350.png",51304,400,400
394,"https://azulejos-portadas.s3.amazonaws.com/394.jpg","2018-07-09 19:25:51","2019-01-22 01:58:11",7595,"400x400","400_7595.png",30886,400,400
393,"https://azulejos-portadas.s3.amazonaws.com/393.jpg","2018-07-09 19:25:02","2019-01-22 01:58:11",7594,"400x400","400_7594.png",73404,400,400
392,"https://azulejos-portadas.s3.amazonaws.com/392.jpg","2018-07-09 19:23:28","2019-01-22 01:58:11",7593,"400x400","400_7593.png",33927,400,400
390,"https://azulejos-portadas.s3.amazonaws.com/390.jpg","2018-07-09 19:21:35","2019-01-22 01:58:11",7592,"400x400","400_7592.png",61435,400,400
39,"https://azulejos-portadas.s3.amazonaws.com/39.jpg","2018-07-02 22:17:18","2019-01-22 01:58:11",1331,"400x400","400_1331.png",87166,400,400
389,"https://azulejos-portadas.s3.amazonaws.com/389.jpg","2018-07-09 19:20:12","2019-01-22 01:58:11",1260,"400x400","400_1260.png",51236,400,400
388,"https://azulejos-portadas.s3.amazonaws.com/388.jpg","2018-07-09 19:14:58","2019-01-22 01:58:11",1319,"400x400","400_1319.png",47052,400,400
386,"https://azulejos-portadas.s3.amazonaws.com/386.jpg","2018-07-09 19:07:02","2019-01-22 01:58:11",7591,"400x400","400_7591.png",72349,400,400
385,"https://azulejos-portadas.s3.amazonaws.com/385.jpg","2018-07-09 19:04:39","2019-01-22 01:58:11",1310,"400x400","400_1310.png",62109,400,400
383,"https://azulejos-portadas.s3.amazonaws.com/383.jpg","2018-07-09 18:44:54","2019-01-22 01:58:11",1431,"400x400","400_1431.png",41372,400,400
381,"https://azulejos-portadas.s3.amazonaws.com/381.jpg","2018-07-09 18:22:58","2019-01-22 01:58:11",7590,"400x400","400_7590.png",72752,400,400
380,"https://azulejos-portadas.s3.amazonaws.com/380.jpg","2018-07-09 18:20:08","2019-01-22 01:58:11",7589,"400x400","400_7589.png",71875,400,400
378,"https://azulejos-portadas.s3.amazonaws.com/378.jpg","2018-07-09 17:52:24","2019-01-22 01:58:11",7381,"400x400","400_7381.png",54892,400,400
376,"https://azulejos-portadas.s3.amazonaws.com/376.jpg","2018-07-09 17:50:10","2019-01-22 01:58:11",7380,"400x400","400_7380.png",99753,400,400
375,"https://azulejos-portadas.s3.amazonaws.com/375.jpg","2018-07-09 17:49:22","2019-01-22 01:58:11",7588,"400x400","400_7588.png",36068,400,400
374,"https://azulejos-portadas.s3.amazonaws.com/374.jpg","2018-07-09 17:49:18","2019-01-22 01:58:11",7379,"400x400","400_7379.png",54722,400,400
373,"https://azulejos-portadas.s3.amazonaws.com/373.jpg","2018-07-09 17:47:53","2019-01-22 01:58:11",7378,"400x400","400_7378.png",7359,400,400
372,"https://azulejos-portadas.s3.amazonaws.com/372.jpg","2018-07-09 17:46:48","2019-01-22 01:58:11",7377,"400x400","400_7377.png",14688,400,400
371,"https://azulejos-portadas.s3.amazonaws.com/371.jpg","2018-07-09 17:45:48","2019-01-22 01:58:11",7376,"400x400","400_7376.png",23471,400,400
370,"https://azulejos-portadas.s3.amazonaws.com/370.jpg","2018-07-09 17:42:28","2019-01-22 01:58:11",1756,"400x400","400_1756.png",10145,400,400
37,"https://azulejos-portadas.s3.amazonaws.com/37.jpg","2018-07-02 22:11:07","2019-01-22 01:58:11",1411,"400x400","400_1411.png",63103,400,400
369,"https://azulejos-portadas.s3.amazonaws.com/369.jpg","2018-07-09 17:36:36","2019-01-22 01:58:11",NULL,"400x400","400_null.png",18842,400,400
368,"https://azulejos-portadas.s3.amazonaws.com/368.jpg","2018-07-09 17:31:38","2019-01-22 01:58:11",7403,"400x400","400_7403.png",12229,400,400
367,"https://azulejos-portadas.s3.amazonaws.com/367.jpg","2018-07-09 17:22:43","2019-01-22 01:58:11",7586,"400x400","400_7586.png",43465,400,400
366,"https://azulejos-portadas.s3.amazonaws.com/366.jpg","2018-07-09 17:21:54","2019-01-22 01:58:11",1258,"400x400","400_1258.png",58175,400,400
365,"https://azulejos-portadas.s3.amazonaws.com/365.jpg","2018-07-09 17:19:20","2019-01-22 01:58:11",7393,"400x400","400_7393.png",14252,400,400
364,"https://azulejos-portadas.s3.amazonaws.com/364.jpg","2018-07-09 17:15:15","2019-01-22 01:58:11",7399,"400x400","400_7399.png",51672,400,400
360,"https://azulejos-portadas.s3.amazonaws.com/360.jpg","2018-07-09 17:12:37","2019-01-22 01:58:11",7397,"400x400","400_7397.png",14292,400,400
358,"https://azulejos-portadas.s3.amazonaws.com/358.jpg","2018-07-09 17:10:28","2019-01-22 01:58:11",1758,"400x400","400_1758.png",5120,400,400
350,"https://azulejos-portadas.s3.amazonaws.com/350.jpg","2018-07-09 16:48:45","2019-01-22 01:58:11",7406,"400x400","400_7406.png",73824,400,400
35,"https://azulejos-portadas.s3.amazonaws.com/35.jpg","2018-07-02 22:07:39","2019-01-22 01:58:11",1380,"400x400","400_1380.png",27056,400,400
349,"https://azulejos-portadas.s3.amazonaws.com/349.jpg","2018-07-09 16:43:13","2019-01-22 01:58:11",7570,"400x400","400_7570.png",97779,400,400
347,"https://azulejos-portadas.s3.amazonaws.com/347.jpg","2018-07-09 16:39:43","2019-01-22 01:58:11",1400,"400x400","400_1400.png",93170,400,400
346,"https://azulejos-portadas.s3.amazonaws.com/346.jpg","2018-07-09 16:38:25","2019-01-22 01:58:11",7568,"400x400","400_7568.png",54578,400,400
344,"https://azulejos-portadas.s3.amazonaws.com/344.jpg","2018-07-09 16:34:14","2019-01-22 01:58:11",7537,"400x400","400_7537.png",74636,400,400
340,"https://azulejos-portadas.s3.amazonaws.com/340.jpg","2018-07-09 16:29:08","2019-01-22 01:58:11",NULL,"400x400","400_null.png",55707,400,400
34,"https://azulejos-portadas.s3.amazonaws.com/34.jpg","2018-07-02 22:05:11","2019-01-22 01:58:11",1868,"400x400","400_1868.png",26477,400,400
337,"https://azulejos-portadas.s3.amazonaws.com/337.jpg","2018-07-09 16:18:15","2019-01-22 01:58:11",7581,"400x400","400_7581.png",16544,400,400
336,"https://azulejos-portadas.s3.amazonaws.com/336.jpg","2018-07-09 16:00:25","2019-01-22 01:58:11",7418,"400x400","400_7418.png",68698,400,400
335,"https://azulejos-portadas.s3.amazonaws.com/335.jpg","2018-07-09 15:45:23","2019-01-22 01:58:11",7580,"400x400","400_7580.png",84359,400,400
334,"https://azulejos-portadas.s3.amazonaws.com/334.jpg","2018-07-09 15:34:34","2019-01-22 01:58:11",7578,"400x400","400_7578.png",79488,400,400
333,"https://azulejos-portadas.s3.amazonaws.com/333.jpg","2018-07-09 15:32:48","2019-01-22 01:58:11",1762,"400x400","400_1762.png",28751,400,400
332,"https://azulejos-portadas.s3.amazonaws.com/332.jpg","2018-07-09 15:28:55","2019-01-22 01:58:11",1352,"400x400","400_1352.png",74485,400,400
330,"https://azulejos-portadas.s3.amazonaws.com/330.jpg","2018-07-09 15:23:03","2019-01-22 01:58:11",7575,"400x400","400_7575.png",43093,400,400
33,"https://azulejos-portadas.s3.amazonaws.com/33.jpg","2018-07-02 21:56:44","2019-01-22 01:58:11",2973,"400x400","400_2973.png",84752,400,400
329,"https://azulejos-portadas.s3.amazonaws.com/329.jpg","2018-07-09 15:21:34","2019-01-22 01:58:11",1351,"400x400","400_1351.png",99703,400,400
328,"https://azulejos-portadas.s3.amazonaws.com/328.jpg","2018-07-09 15:18:08","2019-01-22 01:58:11",1302,"400x400","400_1302.png",67395,400,400
327,"https://azulejos-portadas.s3.amazonaws.com/327.jpg","2018-07-05 22:52:02","2019-01-22 01:58:11",7392,"400x400","400_7392.png",32015,400,400
326,"https://azulejos-portadas.s3.amazonaws.com/326.jpg","2018-07-05 22:50:38","2019-01-22 01:58:11",7391,"400x400","400_7391.png",76498,400,400
325,"https://azulejos-portadas.s3.amazonaws.com/325.jpg","2018-07-05 22:48:47","2019-01-22 01:58:11",7390,"400x400","400_7390.png",97042,400,400
324,"https://azulejos-portadas.s3.amazonaws.com/324.jpg","2018-07-05 22:46:53","2019-01-22 01:58:11",7389,"400x400","400_7389.png",4407,400,400
323,"https://azulejos-portadas.s3.amazonaws.com/323.jpg","2018-07-05 22:42:15","2019-01-22 01:58:11",7410,"400x400","400_7410.png",23004,400,400
322,"https://azulejos-portadas.s3.amazonaws.com/322.jpg","2018-07-05 22:34:45","2019-01-22 01:58:11",7409,"400x400","400_7409.png",16869,400,400
320,"https://azulejos-portadas.s3.amazonaws.com/320.jpg","2018-07-05 22:21:33","2019-01-22 01:58:11",7420,"400x400","400_7420.png",37705,400,400
32,"https://azulejos-portadas.s3.amazonaws.com/32.jpg","2018-07-02 21:56:17","2019-01-22 01:58:11",1249,"400x400","400_1249.png",19278,400,400
319,"https://azulejos-portadas.s3.amazonaws.com/319.jpg","2018-07-05 22:21:06","2019-01-22 01:58:11",1429,"400x400","400_1429.png",4427,400,400
317,"https://azulejos-portadas.s3.amazonaws.com/317.jpg","2018-07-05 22:06:29","2019-01-22 01:58:11",7547,"400x400","400_7547.png",24341,400,400
316,"https://azulejos-portadas.s3.amazonaws.com/316.jpg","2018-07-05 22:04:06","2019-01-22 01:58:11",7549,"400x400","400_7549.png",46016,400,400
315,"https://azulejos-portadas.s3.amazonaws.com/315.jpg","2018-07-05 22:01:47","2019-01-22 01:58:11",2897,"400x400","400_2897.png",510,400,400
314,"https://azulejos-portadas.s3.amazonaws.com/314.jpg","2018-07-05 21:59:07","2019-01-22 01:58:11",3134,"400x400","400_3134.png",34738,400,400
313,"https://azulejos-portadas.s3.amazonaws.com/313.jpg","2018-07-05 21:57:21","2019-01-22 01:58:11",3011,"400x400","400_3011.png",95770,400,400
312,"https://azulejos-portadas.s3.amazonaws.com/312.jpg","2018-07-05 21:56:37","2019-01-22 01:58:11",7567,"400x400","400_7567.png",25172,400,400
311,"https://azulejos-portadas.s3.amazonaws.com/311.jpg","2018-07-05 21:55:06","2019-01-22 01:58:11",1242,"400x400","400_1242.png",19025,400,400
